"contributor_state","total"
"DC",7557874.45
"MA",5515815.55
"WI",4558345.68
"CA",2586006.95
"NY",1508491.35
"IL",614499.66
"WA",512767.09
"OK",502974
"CT",175645.81
"MD",157887.89
"VA",114828.24
"TX",111457.95
"CO",101328.98
"MN",100339.53
"PA",95077.5
"FL",90843.27
"VT",76448.36
"OR",70155.86
"ME",70074
"NJ",63206.19
"KY",53557.61
"NV",46303.14
"GA",34834.75
"IN",32097.22
"MO",31812.2
"NM",31182.02
"WY",30980.4
"HI",27932.44
"NC",27208.17
"MI",26540.91
"RI",25786.48
"ZZ",24008.5
"UT",23296.47
"AZ",20576.05
"OH",20517.88
"SC",15890.67
"TN",11082.79
"NH",6982.6
"LA",5593
"IA",4253.1
"ID",3783.34
"KS",3692.62
"AK",2499.33
"AL",2475
NA,2404.96
"DE",2250
"WV",2060.6
"NE",2034.22
"AR",1633.29
"ND",1614.83
"SD",1075
"MS",815
"MT",734
"PR",264.7
"AP",216
"AA",175
"GU",50
